Topic/Theme,Key Points,Supporting Evidence,Entities,Timeline/Context,Impact/Reasoning
Security & Organized Crime,Deployment of SANDF to Western Cape and Gauteng.,I am deploying the South African National Defence Force (SANDF) to support the police... within the next few days in the Western Cape and Gauteng to deal with gang violence and illegal mining.,"SANDF, SAPS, Minister of Police",Within the next few days,To strengthen the fight against gang violence and illegal mining.
Security & Organized Crime,"Recruitment of 5,500 additional police officers.","We are putting more boots on the ground through the recruitment this year of 5 500 additional police officers, adding to the 20 000 new officers we announced in previous SoNAs.",SAPS,This year (2026),To tackle gun crime and increase enforcement of existing laws.
Security & Organized Crime,Establishment of National Illicit Economy Disruption Programme.,"We are establishing a National Illicit Economy Disruption Programme that brings together key state agencies and other stakeholders, including the private sector.","State agencies, Private Sector",Ongoing/Immediate,"To target high-risk sectors like tobacco, fuel, alcohol using data analytics and AI."
Security & Organized Crime,Re-vetting and lifestyle audits of SAPS and Metro Police Senior Management.,The State Security Agency will re-vet the Senior Management of the SAPS and Metro Police departments. The vetting process will include lifestyle audits.,"State Security Agency, SAPS, Metro Police",Following Madlanga Commission findings,To address rampant corruption and abuse of power exposed by the commission.
Security & Organized Crime,Introduction of Whistle-Blower Protection Bill.,"The Whistle-Blower Protection Bill will be introduced in Parliament. Among other things, this will criminalise retaliation and provide psychosocial, legal and financial support to whistle-blowers.",Parliament,Upcoming legislative session,To prevent victimisation of those who speak out against corruption.
Security & Organized Crime,Finalisation of new Public Procurement Act regulations.,Measures will include the use of technology and the finalisation of new Public Procurement Act regulations by mid-2026.,Government,By mid-2026,To end corruption in the procurement system where most incidents originate.
Water Infrastructure,R156 billion investment in water and sanitation infrastructure.,We have committed more than R156 billion in public funding for water and sanitation infrastructure over the next three years.,Government,Over the next three years,To ensure long-term water security and address infrastructure neglect.
Water Infrastructure,Establishment of National Water Crisis Committee chaired by the President.,"we will now elevate our response to the water crisis to a National Water Crisis Committee, which I will chair.",Presidency,Immediate elevation,To coordinate all efforts into a single body and deploy technical experts to municipalities.
Water Infrastructure,R54 billion incentive for metros to reform services.,"we have introduced a new R54 billion incentive for metros to reform their water, sanitation and electricity services.",Metros,Announced,To ensure revenue from water usage is reinvested into infrastructure rather than diverted.
Governance & Local Government,Finalisation of revised White Paper on Local Government.,"we will, in the coming months finalise a revised White Paper on Local Government.",Government,In the coming months,To provide solutions for an effective local government system and reimagined municipal functions.
Infrastructure & Economy,R1 trillion public investment in infrastructure.,Government has committed more than R1 trillion in public investment over three years to build and maintain infrastructure.,Government,Over three years,"Largest allocation in history to build jobs, productivity, and growth."
Infrastructure & Economy,Establishment of specialized commercial courts.,we will establish specialised courts for commercial matters with dedicated judges and dedicated court rolls to ensure faster outcomes,Judiciary,Immediate/Upcoming,To prevent delays in critical projects caused by tender disputes.
Infrastructure & Economy,Establishment of a professional State Property Company.,"This year, we will begin work to establish a professional State Property Company to transform the 88 000 buildings and five million hectares of land owned by the State",Government,Work begins this year,To turn state assets into professionally managed engines of growth.
Energy & Green Transition,40% of energy supply from renewable sources by 2030.,"By 2030, more than 40% of our energy supply will come from cheap, clean and renewable energy sources.",Energy Sector,By 2030,To drive down costs and ensure long-term energy security.
Energy & Green Transition,Eradication of load reduction by next year.,We will work in each province to address transformer overloading... with the objective of eradicating load reduction by next year.,"Eskom, Provinces",By 2027,To modernise the energy system and address local equipment failures.
Energy & Green Transition,150% tax deduction for investment in New Energy Vehicles (NEVs).,"From March this year, we will introduce a 150% tax deduction for investment in new energy vehicles","National Treasury, SARS",From March 2026,To pivot the economy towards green growth and support local battery production.
Logistics & Transport,Public-private partnerships in port terminals and rail corridors.,"Later this year, we will initiate major public-private partnerships in our port terminals and rail corridors through a concession model","Transnet, Private Sector",Later this year,To mobilise private investment while preserving public ownership.
Agriculture,"Deployment of 10,000 new Extension Officers.",We will deploy 10 000 new Extension Officers to support farmers and improve agricultural productivity.,Department of Agriculture,Upcoming,To support farmers and create opportunities for youth.
Agriculture,Vaccination of 14 million cattle against Foot-and-Mouth Disease (FMD).,We have decided to vaccinate the national herd of 14 million cattle. This requires 28 million vaccines over the next 12 months.,"Department of Agriculture, Private Sector",Next 12 months,To address the national disaster of FMD outbreak and lift export bans.
Economy & Investment,R2 trillion investment target over five years.,We have now set ourselves a target of raising R2 trillion in new investments over the next five years.,Government,Next five years,To build on previous success and drive economic growth.
Economy & Investment,"R2.5 billion funding for 180,000 SMEs.","This year, we will provide more than R2.5 billion in funding to over 180 000 small and medium enterprises, and extend a further R1 billion in guarantees.",Government,This year,"To back those who create opportunity, focusing on women and youth-led businesses."
Digital Transformation,Launch of Digital ID.,"This year, the DHA will launch a Digital ID to enable safe and secure use of digital services for all South Africans.",Department of Home Affairs,This year,To enable safe digital services and digitise government functions like driver's licenses and SASSA tests.
Education & Skills,Compulsory Grade R.,"By making Grade R compulsory, we are getting all children off to a good start.",Basic Education,Implementation phase,To establish a firm foundation for learning.
Education & Skills,Restoration of skills development levy return to 40%.,"we will increase the proportion of the skills development levy returned to employers, restoring it to its original level of 40%.",Department of Higher Education,Upcoming,To support effective workplace-based learning.
Health & Social Development,Mission to end child stunting by 2030.,"This year, we will embark on a mission to end child stunting by 2030... focusing on the crucial first 1 000 days of a child’s life.",Government,By 2030,To address the crisis where a quarter of children under five are stunted.
Health & Social Development,Redesign of the SRD Grant.,"This year, we will redesign the grant to more effectively support livelihoods, skills development, work opportunities and productive activity.","SASSA, Dept of Social Development",This year,To transform the grant into an instrument that improves lives beyond just food poverty.
Health & Social Development,Rollout of Lenacapavir for HIV prevention.,"we will be undertaking a massive rollout of Lenacapavir, a six-monthly injection that has proven highly effective in preventing HIV transmission.",Department of Health,Massive rollout starting,To prevent and ultimately eliminate HIV/AIDS.
Health & Social Development,HPV vaccine for girls aged 9-15.,ensure that every young girl between the ages of 9 and 15 receives the HPV vaccine.,Department of Health,Immediate/Ongoing,To end cervical cancer.
Borders & Labor Enforcement,"Hiring of 10,000 additional labour inspectors.","To tighten enforcement, we will hire an additional 10 000 labour inspectors this year.",Department of Employment and Labour,This year,To crack down on violations of immigration and labour laws.
National Dialogue,National Dialogue and National Convention.,"This year, the National Dialogue process will spread across South Africa... These public dialogues will culminate in a National Convention","Eminent Persons Group, Steering Committee",Throughout 2026,To guide the formulation of a national compact and the next phase of the NDP.
